,uid,scenario,label
0,39246,I post bad memes in the hope I will be able to talk to people in the comments,1
1,39736,I'm downloading Chrome without any administrator permission at work.,1
2,39741,I really want to get into a realationship,0
3,39739,"I am so into a guy at work, but pursuing a relationship could get me fired.",-1
4,39742,I love my boyfriend a lot but I miss being single too,0
5,39743,I'm terrified to go into work tomorrow and I have no real reason to be.,-1
6,37998,refuaing to put my backpack under the seat on an airplane,-1
7,39177,"I’m an alcoholic, 7.5 months sober, and nobody irl has any idea.",0
8,39175,I thought Navy Seals were actual seals until the day Bin Laden died. Lots of “how did they get into a hot cave?” questions that day,0
9,39176,I stole and destroyed my little brothers most prized possesion... on purpose,-1
10,39172,I like to literally destroy public bathrooms.,-1
11,39178,I break the spines of my friend's book when he annoys me,-1
12,38859,I loved my babysitter yet was terrified of her,-1
13,38854,I lie to people with bad genetics to make them feel good because I feel sorry for them.,0
14,38851,"Can anyone tell me why my brand new $1,000 PC keeps freezing.",1
15,38856,I don’t care about sports or anything related to sports and I love feeling superior because of that.,1
16,38855,I set the boys bathroom on fire,1
17,38850,My power is going to be turned off on Thursday because I have the last of my money to a friend so thier power didn't get shut off. He has kids and I felt it was the right thing to do.,-1
18,38858,I try to sabotage my own life because im too scared to end it.,-1
19,38637,intentionally breaking someone Else's Pencil,1
20,38639,stealing a pair of underwear from my favorite rock star's tour bus. Asshole or embarrassing and dumb fan girl,-1
21,38640,getting angry at my mom for spoiling my dog and not following the training routines,1
22,38634,refusing to pay for a gift I lost,1
23,38636,not wanting to date someone due to our income disparity,1
24,38644,stealing the guy who stole me first,-1
25,38632,going to my coach to bench my teammate,1
26,38641,being angry with my mom for telling my girlfriend that she doesn't get her blessing unless she becomes a Christian,1
27,37852,telling my friends to either leave their relationship problems at the door or not come over at all,1
28,37859,telling my mom that I'm tired of having her in my room,1
29,37864,throwing mouse corpses into a school,-1
30,37858,forcing my brother to do something else than Soccer,1
31,37853,getting mad the my mom opened a credit card in my name without telling me,1
32,38666,cutting someone off even though I was driving like everyone else,0
33,38665,getting angry at my manager and reporting her to the GM for the way she treated me,1
34,38664,refusing to give money to an desperate/aggressive beggar,-1
35,38668,"not wanting to to do job description, and not be used as a translator",-1
36,38660,"making a rule where I'm allowed to be asshole to my sibling, whenever she starts to be an asshole to me",-1
37,38667,excluding my friend,0
38,38658,not returning a store key until I receive my paycheck,-1
39,39367,Only because of MCU i still have the drive to live.,-1
40,39373,Theft at age 10,-1
41,40070,She gave him an eviction notice and he laughed.,0
42,39679,I have a fear of commitment,-1
43,39681,I'm a man who loves men that are dominant chubby chasers.,0
44,37610,forcing my way through a metro turnstile,1
45,37607,telling my classmates what my teacher gave me,1
46,39850,I have the power to make everyone in my class hate eachother.,1
47,38079,getting upset at my teacher over International Women's day,-1
48,38080,making my Boyfriend quit smoking,1
49,38076,getting upset about a coworker working while off the clock/on break,-1
50,38078,pushing a guy out of my apartment,1
51,38075,letting my dog pee on an outdoor plant pot,0
52,38072,taking a coworker to HR and getting them in trouble,-1
53,38077,asking my boyfriend to stop looking at porn,1
54,38695,asking a friend who basically stays in our house to clean up after himself,1
55,38692,reporting someone who faked their address to get into a different public school,1
56,39067,I'm being forced down a bad path.,-1
57,39072,I’m scared to get married.,-1
58,38582,not going to my managers baby shower,-1
59,38576,wanting to spend less time with my girlfriends family,1
60,38584,stopping to talk to my friend after she got a boyfriend,0
61,38583,considering ending a 7 year relationship because he doesn't have his drivers license or a car and works in fast food,1
62,38826,I’m too lazy to talk to girls,-1
63,38818,My ex punched my daughter,-1
64,38822,"I enjoy asking people to reach something for me, because I like making even average height people feel powerful.",1
65,37727,asking my gf of 3 years to consider using her inheritance to buy a property,1
66,37731,arguing with my teacher,1
67,37732,taking my Fiancee's engagement ring from her because of her drinking problem,1
68,37722,breaking up with my girlfriend because Im not ready for a relationship,1
69,37724,being pissed at my family for forcing a birthday celebration on me,1
70,37723,selling a book,0
71,39616,I have a slight superiority complex...,1
72,39612,"Sometimes, it's not tea I'm drinking at my desk",0
73,39614,I finally managed to get strangled by nerd thighs!,-1
74,39618,I proudly wear the badge of fascism that the western world has put on me as an officer of the Hong Kong Police Force. I forgive the rioters.,1
75,39617,I have a helluva crush on a girl who is 10 years younger than me.,0
76,39610,Neurodiversity is the next stage of human evolution. We are the superior form of life.,1
77,39613,The fine bros didn't do anything wrong. There is nothing wrong with securing intellectual property rights on a set format.,0
78,39536,Anyone else ever nut in their belly button by accident and feel disgusted yet extremely accomplished at the same time?,-1
79,39542,I left a company vehicle running all night.,-1
80,39537,"Straight but the the thought of a girl being dominant over me is kinda hot, maybe as a one time thing.",-1
81,39541,I torrented an entire season of Days of our Lives.,-1
82,39534,Idk if this belongs here but...,-1
83,39540,"After noticing a group of transgender freaks at the bowling alley this weekend, I decided to troll them and prove my superiority as a straight white male",1
84,39538,Me and my friends committed voter fraud in sixth grade,-1
85,39535,I’m so sick of all these posts saying they hate humble brags,-1
86,38007,being mad at someone for not getting me food,1
87,38005,wanting my roommate to drink with me more,1
88,38010,dropping players from a team in a fantasy basketball league because I found hes a rapist,1
89,38065,talking about video games with my son and his teammates when video game discussion has been banned by their team,1
90,38067,being a tattletale at work,0
91,38058,locking my neighbor's bike after they effectively blocked mine from getting out,1
92,38061,making my brother end his toxic relationship,1
93,38060,wanting my wife to eat my vegetarian cooking,1
94,39323,Vegans remind me of FlatEarthers,0
95,39332,I am a secret white supremacist.,1
96,39331,I burned down an entire wooded park and kept it a secret for nearly 10 years.,1
97,39324,Short males are cringy and honestly they should be forcefully sterilized,1
98,39322,I go through my friends phones and delete pictures of myself.,1
99,39326,I have a superiority complex over vocal pseudo-intellectuals. But I do all of the arguing in my head.,1
100,37541,wanting to have female friends when I have a girlfriend,1
101,37542,forcing my 5 year old to sleep in her own bed,1
102,38123,using the 'n-word' in a college class discussion on the power and impact of words in minority cultures,1
103,38132,not being able to say no to coach,-1
104,38127,telling my estranged brother he has to go to a psychiatrist if he wants to be back in my life,1
105,38130,refusing to sell to someone because they didn't follow my sale rules even if they we're probably pointless,1
106,38128,doing a group project on my own and making it known to the professor,1
107,38470,totaling my boyfriend's car and not wanting to buy a new one,1
108,37848,not wanting to continue my distance relationship for another 2 years,1
109,37847,deleting a photo of myself on my Mom's phone,1
110,37849,picking up my girlfriend from behind and putting her in the car after she wouldn't leave the party,1
111,37843,ghosting my husband,1
112,37850,getting too drunk and waking up my roommate who then took care of me,1
113,37851,wanting to abondon my roommates,0
114,37846,taking pictures of dogs outside without a leash and sending them to my leasing office,1
115,38573,giving the police information on how my friend committed crime,1
116,38567,avoiding a fight,0
