model,accuracy,f1,recall,precision
model_ACHIEVEMENT,0.52046783625731,0.499446778860503,0.52046783625731,0.5341255130728815
model_BENEVOLENCE,0.6151337247227658,0.6159499747153553,0.6151337247227658,0.6335682398773465
model_CONFORMITY,0.7824933687002652,0.7792202737153275,0.7824933687002652,0.7762768520769973
model_HEDONISM,0.6087962962962963,0.6088549165702674,0.6087962962962963,0.6136558929799228
model_POWER,0.5340909090909091,0.5133496422558923,0.5340909090909091,0.5134297520661157
model_SECURITY,0.45934959349593496,0.4464931959018505,0.45934959349593496,0.44789851608718506
model_SELF-DIRECTION,0.35384615384615387,0.35208791208791207,0.35384615384615387,0.37390648567119156
model_STIMULATION,0.6015625,0.5913953734478865,0.6015625,0.5921670511395491
model_TRADITION,0.5538461538461539,0.5482815057283144,0.5538461538461539,0.5452393760086067
model_UNIVERSALISM,0.4232209737827715,0.4112740663170273,0.4232209737827715,0.40776417124893183
